course_id,lang,order,question,answer
vedic-astrology,en,1,"Do I need any prior knowledge to learn Vedic Astrology?","No. This course is designed for complete beginners as well as learners who want to build a deeper understanding of astrology and chart interpretation."
vedic-astrology,en,2,"Will I learn how to read a Kundli (birth chart)?","Yes. Students are taught how to analyze birth charts using planets, houses, zodiac signs, ascendants, yogas, dashas, and transits."
vedic-astrology,en,3,"Are predictive astrology techniques included in the course?","Yes. The course covers practical predictive methods including dasha analysis, planetary periods, transits, and timing techniques."
vedic-astrology,en,4,"Will I learn remedies used in Vedic Astrology?","Yes. Students are introduced to traditional astrological remedies and their appropriate application."
vedic-astrology,en,5,"Can I analyze career, marriage, and financial prospects through astrology?","Yes. The course teaches chart analysis for major life areas including career, relationships, marriage, finances, health, and personal growth."
vedic-astrology,en,6,"Is the course suitable for professional consultation training?","Absolutely. The curriculum focuses on practical chart reading and consultation-oriented skills."
vedic-astrology,en,7,"Will real chart examples be discussed?","Yes. Students work with practical chart examples and guided case studies to strengthen interpretation skills."
vedic-astrology,en,8,"Can I use astrology for personal guidance?","Yes. Many students learn astrology to gain deeper self-awareness and understand life patterns."
vedic-astrology,en,9,"Can I build a career after completing the course?","Yes. Students can work as astrologers, consultants, teachers, spiritual advisors, or content creators."
vedic-astrology,en,10,"Is certification provided after course completion?","Yes. Students who successfully complete the course receive a course completion certificate."
vedic-astrology,hi,1,"क्या वैदिक ज्योतिष सीखने के लिए मुझे किसी पूर्व ज्ञान की आवश्यकता है?","नहीं। यह कोर्स पूर्ण शुरुआती लोगों के साथ-साथ उन शिक्षार्थियों के लिए भी डिज़ाइन किया गया है जो ज्योतिष और चार्ट व्याख्या की गहरी समझ बनाना चाहते हैं।"
vedic-astrology,hi,2,"क्या मैं कुंडली (जन्म चार्ट) पढ़ना सीखूंगा?","हां। छात्रों को ग्रहों, भावों, राशियों, लग्न, योगों, दशाओं, और गोचर का उपयोग करके जन्म चार्ट का विश्लेषण करना सिखाया जाता है।"
vedic-astrology,hi,3,"क्या कोर्स में भविष्यवाणी ज्योतिष तकनीकें शामिल हैं?","हां। यह कोर्स दशा विश्लेषण, ग्रह काल, गोचर, और समय निर्धारण तकनीकों सहित व्यावहारिक भविष्यवाणी विधियों को कवर करता है।"
vedic-astrology,hi,4,"क्या मैं वैदिक ज्योतिष में उपयोग किए जाने वाले उपाय सीखूंगा?","हां। छात्रों को पारंपरिक ज्योतिषीय उपायों और उनके उचित अनुप्रयोग से परिचित कराया जाता है।"
